------------------------------------------------------------------------------------------------------------------------
                Term |                                                                     Documents it occurs in
------------------------------------------------------------------------------------------------------------------------
                take |           {0, 1, 7, 8, 10, 14, 16, 17, 18, 20, 21, 23, 30, 31, 34, 35, 37, 40, 41, 42, 47}
                 one |                 {1, 3, 4, 35, 6, 36, 8, 9, 10, 39, 42, 43, 14, 45, 16, 49, 24, 25, 29, 30}
                kill |                       {0, 1, 3, 37, 38, 39, 8, 41, 12, 14, 48, 49, 18, 21, 24, 25, 26, 30}
                leav |                     {1, 39, 40, 9, 42, 11, 12, 43, 14, 44, 48, 17, 19, 20, 22, 23, 25, 27}
                turn |                               {33, 2, 5, 6, 8, 41, 11, 43, 13, 14, 45, 46, 47, 22, 26, 27}
                 two |                              {34, 3, 35, 5, 9, 41, 42, 43, 44, 46, 48, 17, 19, 21, 26, 29}
              mother |                             {32, 5, 38, 8, 42, 12, 13, 45, 15, 16, 46, 19, 23, 26, 27, 31}
                 day |                                   {3, 35, 5, 6, 36, 8, 37, 12, 44, 47, 48, 17, 19, 26, 29}
               later |                                  {33, 34, 4, 37, 38, 7, 8, 39, 45, 14, 19, 25, 26, 27, 31}
              father |                                     {0, 36, 37, 38, 8, 42, 11, 15, 20, 21, 25, 28, 30, 31}
              friend |                                      {33, 34, 3, 36, 37, 6, 38, 9, 11, 13, 15, 28, 30, 31}
              return |                                      {34, 4, 38, 8, 9, 43, 14, 15, 48, 20, 21, 22, 28, 30}
                love |                                     {35, 36, 6, 7, 40, 14, 15, 16, 46, 18, 19, 23, 24, 29}
                 get |                                           {1, 2, 33, 36, 37, 7, 9, 41, 11, 13, 23, 25, 27}
                find |                                         {2, 5, 37, 10, 42, 43, 44, 49, 19, 26, 28, 29, 30}
                year |                                        {32, 34, 35, 4, 41, 10, 45, 14, 48, 21, 23, 28, 31}
                 use |                                              {0, 33, 35, 5, 8, 40, 42, 11, 24, 25, 28, 31}
                tell |                                             {0, 34, 35, 36, 6, 45, 15, 16, 17, 48, 26, 27}
                make |                                             {1, 36, 37, 6, 10, 43, 13, 46, 49, 18, 21, 22}
               arriv |                                                {2, 3, 4, 34, 6, 38, 8, 43, 45, 15, 17, 26}
                 man |                                               {2, 35, 5, 37, 7, 39, 9, 11, 43, 13, 20, 22}
               decid |                                              {3, 4, 5, 37, 10, 13, 14, 15, 16, 47, 23, 25}
                 men |                                              {3, 4, 5, 37, 39, 41, 42, 14, 48, 21, 24, 30}
                  go |                                            {36, 38, 7, 10, 13, 45, 16, 18, 22, 23, 28, 30}
             attempt |                                           {33, 36, 37, 40, 17, 19, 21, 22, 25, 28, 29, 31}
